loss,accuracy,precision,recall,auc,prc,tp,fp,tn,fn,val_loss,val_accuracy,val_precision,val_recall,val_auc,val_prc,val_tp,val_fp,val_tn,val_fn
0.6565337777137756,0.6241433024406433,0.6271857619285583,0.597047746181488,0.6708109974861145,0.6471804976463318,1901.0,1130.0,2106.0,1283.0,0.6320290565490723,0.6650062203407288,0.6490250825881958,0.6196808218955994,0.7097325921058655,0.676001250743866,233.0,126.0,301.0,143.0
0.5987880229949951,0.6890965700149536,0.6914893388748169,0.6736809015274048,0.752526581287384,0.7251213788986206,2145.0,957.0,2279.0,1039.0,0.5888547897338867,0.7098380923271179,0.7173252105712891,0.6276595592498779,0.7615911960601807,0.7425000667572021,236.0,93.0,334.0,140.0
0.5479670166969299,0.732087254524231,0.7358247637748718,0.7173366546630859,0.8017961382865906,0.7846004962921143,2284.0,820.0,2416.0,900.0,0.5489442348480225,0.7322540283203125,0.8108108043670654,0.5585106611251831,0.809575617313385,0.793820858001709,210.0,49.0,378.0,166.0
0.5093809962272644,0.7585669755935669,0.7627009749412537,0.7449748516082764,0.8321150541305542,0.8195502758026123,2372.0,738.0,2498.0,812.0,0.5283784866333008,0.7384806871414185,0.7785235047340393,0.6170212626457214,0.8144558668136597,0.8016785979270935,232.0,66.0,361.0,144.0
0.49091193079948425,0.7676012516021729,0.7755700349807739,0.7478014826774597,0.8454619646072388,0.8353205323219299,2381.0,689.0,2547.0,803.0,0.5018975138664246,0.7534246444702148,0.7730061411857605,0.6702127456665039,0.8355703949928284,0.822235107421875,252.0,74.0,353.0,124.0
0.4677751064300537,0.7806853652000427,0.7857142686843872,0.7669597864151001,0.8615049123764038,0.8557661771774292,2442.0,666.0,2570.0,742.0,0.5100754499435425,0.7484433650970459,0.7142857313156128,0.771276593208313,0.833804726600647,0.815369188785553,290.0,116.0,311.0,86.0
0.4478306770324707,0.7887850403785706,0.7942691445350647,0.7748115658760071,0.8738576769828796,0.8662464022636414,2467.0,639.0,2597.0,717.0,0.5172325968742371,0.7459526658058167,0.8028169274330139,0.6063829660415649,0.8276944160461426,0.8191894888877869,228.0,56.0,371.0,148.0
0.42610400915145874,0.8063862919807434,0.8091748952865601,0.7977386713027954,0.8873900771141052,0.8812682628631592,2540.0,599.0,2637.0,644.0,0.49533766508102417,0.7696139216423035,0.8447653651237488,0.6223404407501221,0.8479496240615845,0.8391762971878052,234.0,43.0,384.0,142.0
0.408246785402298,0.8118380308151245,0.8150510191917419,0.802763819694519,0.897705078125,0.8938247561454773,2556.0,580.0,2656.0,628.0,0.46633291244506836,0.7658779621124268,0.7435232996940613,0.7632978558540344,0.8592294454574585,0.8496650457382202,287.0,99.0,328.0,89.0
0.3875245749950409,0.8295950293540955,0.8345070481300354,0.8187814354896545,0.909686803817749,0.9021782279014587,2607.0,517.0,2719.0,577.0,0.48504504561424255,0.7633873224258423,0.7104072570800781,0.835106372833252,0.8561712503433228,0.8414351940155029,314.0,128.0,299.0,62.0
0.36337965726852417,0.8378504514694214,0.8362095952033997,0.8369975090026855,0.9213130474090576,0.9184452295303345,2665.0,522.0,2714.0,519.0,0.4711357653141022,0.7708593010902405,0.8178808093070984,0.6569148898124695,0.8602072596549988,0.8501229882240295,247.0,55.0,372.0,129.0
0.34049293398857117,0.8557632565498352,0.8584126830101013,0.8492462038993835,0.9327114820480347,0.9307938814163208,2704.0,446.0,2790.0,480.0,0.4729611873626709,0.7808219194412231,0.739234447479248,0.8218085169792175,0.8593353629112244,0.8467804193496704,309.0,109.0,318.0,67.0
0.31713128089904785,0.8624610304832458,0.8632775545120239,0.858668327331543,0.942807674407959,0.9413025379180908,2734.0,433.0,2803.0,450.0,0.4644656777381897,0.7882938981056213,0.8121212124824524,0.7127659320831299,0.8636484742164612,0.852867841720581,268.0,62.0,365.0,108.0
0.28583016991615295,0.8856697678565979,0.8828125,0.8872487545013428,0.956120491027832,0.9539507627487183,2825.0,375.0,2861.0,359.0,0.5095186233520508,0.7596513032913208,0.8560311198234558,0.585106372833252,0.8730535507202148,0.8644827604293823,220.0,37.0,390.0,156.0
0.26428914070129395,0.8957943916320801,0.889680802822113,0.901695966720581,0.9627158045768738,0.9611790180206299,2871.0,356.0,2880.0,313.0,0.6027593612670898,0.7322540283203125,0.8779342770576477,0.4973404109477997,0.8623810410499573,0.8579728603363037,187.0,26.0,401.0,189.0
0.2323673665523529,0.908566951751709,0.9061620235443115,0.9098618030548096,0.9734987020492554,0.9728653430938721,2897.0,300.0,2936.0,287.0,0.49879562854766846,0.7845578789710999,0.7457627058029175,0.8191489577293396,0.8548974990844727,0.8441438674926758,308.0,105.0,322.0,68.0
0.1946505606174469,0.936292827129364,0.9329172968864441,0.9390703439712524,0.9836899638175964,0.9835838079452515,2990.0,215.0,3021.0,194.0,0.4986351430416107,0.7758405804634094,0.7289719581604004,0.8297872543334961,0.8556294441223145,0.8458468914031982,312.0,116.0,311.0,64.0
0.16489632427692413,0.9510903358459473,0.9470404982566833,0.9547738432884216,0.9897215366363525,0.9896124601364136,3040.0,170.0,3066.0,144.0,0.546657145023346,0.7621419429779053,0.8571428656578064,0.5904255509376526,0.871231734752655,0.8608344793319702,222.0,37.0,390.0,154.0
