loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
0.680607795715332,1260.0,818.0,2418.0,1924.0,0.57289719581604,0.6063522696495056,0.3957286477088928,0.6191023588180542,0.600745439529419,0.6563690900802612,106.0,32.0,395.0,270.0,0.6239103078842163,0.7681159377098083,0.2819148898124695,0.6896955370903015,0.6640529036521912
0.6216541528701782,2091.0,976.0,2260.0,1093.0,0.6777258515357971,0.6817737221717834,0.6567211151123047,0.7237626910209656,0.7004860639572144,0.6059603095054626,276.0,160.0,267.0,100.0,0.6762142181396484,0.6330274939537048,0.7340425252914429,0.749847412109375,0.713823139667511
0.5672682523727417,2261.0,897.0,2339.0,923.0,0.7165108919143677,0.7159594893455505,0.7101130485534668,0.7823162078857422,0.7633664011955261,0.5556789636611938,210.0,74.0,353.0,166.0,0.7011207938194275,0.7394366264343262,0.5585106611251831,0.7948639988899231,0.7679842114448547
0.5239190459251404,2334.0,788.0,2448.0,850.0,0.7448598146438599,0.7475976943969727,0.7330402135848999,0.8203268051147461,0.8081644177436829,0.5264672040939331,218.0,65.0,362.0,158.0,0.7222914099693298,0.7703180313110352,0.5797872543334961,0.8226866722106934,0.8003695011138916
0.49694356322288513,2381.0,736.0,2500.0,803.0,0.7602803707122803,0.7638755440711975,0.7478014826774597,0.8401282429695129,0.8328260779380798,0.5038339495658875,255.0,77.0,350.0,121.0,0.7534246444702148,0.7680723071098328,0.6781914830207825,0.8316401243209839,0.8137801289558411
0.47466549277305603,2424.0,679.0,2557.0,760.0,0.7758566737174988,0.7811794877052307,0.7613065242767334,0.8563550114631653,0.8490709066390991,0.49768272042274475,278.0,98.0,329.0,98.0,0.7559153437614441,0.7393617033958435,0.7393617033958435,0.835635781288147,0.8162780404090881
0.4523699879646301,2501.0,669.0,2567.0,683.0,0.7894080877304077,0.7889589667320251,0.7854899764060974,0.8705224990844727,0.8652454018592834,0.5083937048912048,325.0,152.0,275.0,51.0,0.7471979856491089,0.6813417077064514,0.8643617033958435,0.8492264151573181,0.8351766467094421
0.43735212087631226,2501.0,620.0,2616.0,683.0,0.7970405220985413,0.801345705986023,0.7854899764060974,0.8799535632133484,0.8737573027610779,0.5024656057357788,328.0,159.0,268.0,48.0,0.7422167062759399,0.673511266708374,0.8723404407501221,0.8578000068664551,0.8429824113845825
0.41383761167526245,2583.0,585.0,2651.0,601.0,0.8152648210525513,0.8153409361839294,0.8112437129020691,0.8945389986038208,0.8882015943527222,0.4637041389942169,282.0,82.0,345.0,94.0,0.7808219194412231,0.7747252583503723,0.75,0.8589709401130676,0.8486670255661011
0.3999290466308594,2587.0,562.0,2674.0,597.0,0.8194704055786133,0.8215306401252747,0.8125,0.9018121361732483,0.8964456915855408,0.4558189809322357,280.0,86.0,341.0,96.0,0.773349940776825,0.7650273442268372,0.7446808218955994,0.865012526512146,0.8515336513519287
