loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
0.6547760367393494,1864.0,1175.0,2051.0,1234.0,0.6190702319145203,0.6133596301078796,0.6016784906387329,0.6641044616699219,0.6367725729942322,0.6216163039207458,135.0,39.0,396.0,221.0,0.6713021397590637,0.7758620977401733,0.37921348214149475,0.721936047077179,0.69542396068573
0.5858334302902222,2130.0,893.0,2333.0,968.0,0.7057242393493652,0.704598069190979,0.6875403523445129,0.7638986110687256,0.7344486117362976,0.6431252956390381,94.0,14.0,421.0,262.0,0.6510745882987976,0.8703703880310059,0.26404494047164917,0.7654010057449341,0.7446675300598145
0.5264167189598083,2285.0,803.0,2423.0,813.0,0.7444655299186707,0.7399611473083496,0.7375726103782654,0.8194937109947205,0.8060550689697266,0.6746937036514282,97.0,9.0,426.0,259.0,0.6611883640289307,0.9150943160057068,0.27247190475463867,0.7995349764823914,0.7915897965431213
0.4861844778060913,2381.0,700.0,2526.0,717.0,0.7759329676628113,0.7728010416030884,0.7685603499412537,0.8489715456962585,0.8424553871154785,0.6420570611953735,115.0,10.0,425.0,241.0,0.6826801300048828,0.9200000166893005,0.32303372025489807,0.8313671350479126,0.8174359798431396
0.45763063430786133,2416.0,627.0,2599.0,682.0,0.7930107712745667,0.7939533591270447,0.7798579931259155,0.8678582310676575,0.8635090589523315,0.6415352821350098,125.0,10.0,425.0,231.0,0.6953223943710327,0.9259259104728699,0.3511236011981964,0.8445499539375305,0.8330091834068298
0.43723368644714355,2460.0,596.0,2630.0,638.0,0.8048703074455261,0.804973840713501,0.7940607070922852,0.8806490302085876,0.8778149485588074,0.621353268623352,128.0,12.0,423.0,228.0,0.6965866088867188,0.9142857193946838,0.3595505654811859,0.8534547686576843,0.8384398818016052
0.4174881875514984,2493.0,555.0,2671.0,605.0,0.8165717720985413,0.8179134130477905,0.80471271276474,0.8928896188735962,0.8892765045166016,0.612445056438446,142.0,12.0,423.0,214.0,0.7142857313156128,0.9220778942108154,0.3988763988018036,0.8616299033164978,0.8443799018859863
0.4001058042049408,2526.0,522.0,2704.0,572.0,0.8270082473754883,0.8287401795387268,0.8153647780418396,0.9025031924247742,0.8991056680679321,0.5953747034072876,152.0,13.0,422.0,204.0,0.7256637215614319,0.9212121367454529,0.42696627974510193,0.8653849363327026,0.848149836063385
0.3786086142063141,2572.0,489.0,2737.0,526.0,0.8395003080368042,0.8402482867240906,0.8302130699157715,0.9138476252555847,0.9108277559280396,0.5905008912086487,149.0,12.0,423.0,207.0,0.7231352925300598,0.9254658222198486,0.4185393154621124,0.8726043105125427,0.8546285629272461
0.3567369282245636,2611.0,453.0,2773.0,487.0,0.8513599038124084,0.8521540760993958,0.8428018093109131,0.9249913096427917,0.9224686622619629,0.6017862558364868,148.0,14.0,421.0,208.0,0.7193425893783569,0.9135802388191223,0.4157303273677826,0.8713451027870178,0.8530117273330688
0.3357676863670349,2650.0,414.0,2812.0,448.0,0.86369389295578,0.8648825287818909,0.8553905487060547,0.9348738789558411,0.933123767375946,0.5824447274208069,155.0,14.0,421.0,201.0,0.728192150592804,0.9171597361564636,0.43539324402809143,0.8787904381752014,0.8594080805778503
