,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0,0.6921501159667969,1785.0,1799.0,2297.0,2025.0,0.5163167119026184,0.498046875,0.4685039222240448,0.5185617208480835,0.48277467489242554
1,0.6771928071975708,1101.0,584.0,3512.0,2709.0,0.5834808945655823,0.6534124612808228,0.28897637128829956,0.6349589228630066,0.6082384586334229
2,0.6023820042610168,2435.0,1091.0,3005.0,1375.0,0.6880850195884705,0.6905842423439026,0.6391075849533081,0.7446060180664062,0.7085615396499634
3,0.5341182351112366,2731.0,970.0,3126.0,1079.0,0.7408297657966614,0.737908661365509,0.7167978882789612,0.8134089708328247,0.7921483516693115
4,0.49718472361564636,2876.0,888.0,3208.0,934.0,0.7695420980453491,0.7640807628631592,0.7548556327819824,0.8422942161560059,0.8276664018630981
5,0.4645287096500397,2962.0,822.0,3274.0,848.0,0.7887680530548096,0.7827695608139038,0.7774277925491333,0.8645932078361511,0.8538454174995422
6,0.43438196182250977,3024.0,745.0,3351.0,786.0,0.8063496351242065,0.8023348450660706,0.7937008142471313,0.8835833072662354,0.8743002414703369
7,0.4066399335861206,3096.0,675.0,3421.0,714.0,0.8243106603622437,0.8210023641586304,0.8125984072685242,0.8995523452758789,0.8909945487976074
8,0.38407114148139954,3133.0,622.0,3474.0,677.0,0.835694432258606,0.8343542218208313,0.8223097324371338,0.9114890098571777,0.9039561748504639
9,0.36116597056388855,3187.0,574.0,3522.0,623.0,0.8485959768295288,0.8473809957504272,0.8364829421043396,0.9226922392845154,0.9167186617851257
10,0.33637723326683044,3253.0,517.0,3579.0,557.0,0.8641538023948669,0.8628647327423096,0.8538057804107666,0.9344704747200012,0.9294803738594055
11,0.3107156455516815,3300.0,459.0,3637.0,510.0,0.8774348497390747,0.8778930306434631,0.8661417365074158,0.9452974796295166,0.9413115382194519
12,0.28469234704971313,3364.0,408.0,3688.0,446.0,0.891980767250061,0.891834557056427,0.8829396367073059,0.9555630087852478,0.9520058035850525
13,0.2550565302371979,3434.0,358.0,3738.0,376.0,0.9071590900421143,0.9055907130241394,0.9013123512268066,0.9663849472999573,0.9638181328773499
14,0.2283395528793335,3501.0,295.0,3801.0,309.0,0.9236023426055908,0.9222866296768188,0.9188976287841797,0.9743184447288513,0.9725253582000732
15,0.19639036059379578,3571.0,231.0,3865.0,239.0,0.9405514597892761,0.9392424821853638,0.9372703433036804,0.9826551675796509,0.9810157418251038
16,0.16541416943073273,3637.0,168.0,3928.0,173.0,0.9568681716918945,0.9558475613594055,0.9545931816101074,0.989086925983429,0.9879676699638367
17,0.1373378336429596,3672.0,132.0,3964.0,138.0,0.9658487439155579,0.965299665927887,0.9637795090675354,0.993828535079956,0.9929971098899841
18,0.11876074224710464,3708.0,93.0,4003.0,102.0,0.9753351807594299,0.9755327701568604,0.9732283353805542,0.9959909915924072,0.9954625368118286
19,0.09933056682348251,3737.0,73.0,4023.0,73.0,0.9815329909324646,0.9808399081230164,0.9808399081230164,0.9976857900619507,0.997191309928894
20,0.07708226889371872,3777.0,43.0,4053.0,33.0,0.9903870224952698,0.9887434840202332,0.9913386106491089,0.998945415019989,0.9988062381744385
21,0.06054598093032837,3784.0,30.0,4066.0,26.0,0.9929167628288269,0.9921342134475708,0.9931758642196655,0.999477744102478,0.9993875622749329
22,0.04884093999862671,3793.0,23.0,4073.0,17.0,0.9949405789375305,0.9939727187156677,0.995538055896759,0.9997575879096985,0.9997047781944275
23,0.03774438425898552,3802.0,11.0,4085.0,8.0,0.9975967407226562,0.9971151351928711,0.9979002475738525,0.9998775124549866,0.9998629093170166
24,0.029133344069123268,3805.0,5.0,4091.0,5.0,0.9987351298332214,0.9986876845359802,0.9986876845359802,0.9999666213989258,0.9999626874923706
25,0.02440556138753891,3808.0,6.0,4090.0,2.0,0.9989880919456482,0.9984268546104431,0.9994750618934631,0.9999313950538635,0.9999334812164307
26,0.01792249083518982,3809.0,3.0,4093.0,1.0,0.9994940757751465,0.9992130398750305,0.999737560749054,0.9999962449073792,0.9999960660934448
27,0.014836744405329227,3809.0,2.0,4094.0,1.0,0.9996205568313599,0.9994751811027527,0.999737560749054,0.9999822378158569,0.9999812841415405
28,0.011953971348702908,3809.0,1.0,4095.0,1.0,0.9997470378875732,0.999737560749054,0.999737560749054,0.9999748468399048,0.9999753832817078
29,0.01036157924681902,3809.0,1.0,4095.0,1.0,0.9997470378875732,0.999737560749054,0.999737560749054,0.9999889731407166,0.9999883770942688
