,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0,0.6977212429046631,1040.0,1040.0,3056.0,2770.0,0.5180875062942505,0.5,0.2729658782482147,0.5110800266265869,0.49177977442741394
1,0.6903380155563354,1467.0,1341.0,2755.0,2343.0,0.5340247750282288,0.5224359035491943,0.385039359331131,0.551333487033844,0.5233795046806335
2,0.6663986444473267,1892.0,1459.0,2637.0,1918.0,0.572856068611145,0.564607560634613,0.49658793210983276,0.6163632869720459,0.6055657267570496
3,0.5459218621253967,2542.0,963.0,3133.0,1268.0,0.71780925989151,0.7252496480941772,0.6671916246414185,0.7954281568527222,0.7883122563362122
4,0.4391273558139801,2963.0,710.0,3386.0,847.0,0.8030609488487244,0.8066975474357605,0.7776902914047241,0.8782904744148254,0.8676936030387878
5,0.361017644405365,3173.0,561.0,3535.0,637.0,0.8484694957733154,0.8497589826583862,0.8328083753585815,0.9192705154418945,0.9121658205986023
6,0.27409783005714417,3372.0,404.0,3692.0,438.0,0.8934985995292664,0.8930084705352783,0.8850393891334534,0.9537872076034546,0.9492803812026978
7,0.17662087082862854,3542.0,224.0,3872.0,268.0,0.9377687573432922,0.9405204653739929,0.9296587705612183,0.9809063673019409,0.9786350131034851
8,0.09878046065568924,3683.0,114.0,3982.0,127.0,0.9695168137550354,0.9699763059616089,0.9666666388511658,0.9939361810684204,0.9928127527236938
9,0.05445069447159767,3756.0,46.0,4050.0,54.0,0.9873513579368591,0.9879010915756226,0.9858267903327942,0.9976230263710022,0.99649977684021
10,0.034573994576931,3779.0,36.0,4060.0,31.0,0.991525411605835,0.9905635714530945,0.991863489151001,0.9991649985313416,0.999073326587677
11,0.025735367089509964,3789.0,25.0,4071.0,21.0,0.9941816329956055,0.9934452176094055,0.9944881796836853,0.9992712736129761,0.9986749291419983
12,0.02331351675093174,3790.0,26.0,4070.0,20.0,0.9941816329956055,0.9931865930557251,0.9947506785392761,0.9993932843208313,0.9989866018295288
13,0.03157607838511467,3771.0,29.0,4067.0,39.0,0.9913989305496216,0.9923684000968933,0.9897637963294983,0.9984205365180969,0.99856036901474
14,0.014738804660737514,3800.0,16.0,4080.0,10.0,0.9967113733291626,0.9958071112632751,0.9973753094673157,0.9998732209205627,0.9998690485954285
15,0.009162112139165401,3804.0,6.0,4090.0,6.0,0.9984821677207947,0.9984251856803894,0.9984251856803894,0.999550461769104,0.9994926452636719
16,0.0061057936400175095,3806.0,4.0,4092.0,4.0,0.9989880919456482,0.9989501237869263,0.9989501237869263,0.9999808669090271,0.9999799728393555
17,0.004912028554826975,3806.0,4.0,4092.0,4.0,0.9989880919456482,0.9989501237869263,0.9989501237869263,0.9999785423278809,0.9999781847000122
18,0.0034756907261908054,3806.0,2.0,4094.0,4.0,0.999241054058075,0.9994747638702393,0.9989501237869263,0.9999926686286926,0.9999922513961792
19,0.002129557076841593,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999991059303284,0.9999989867210388
20,0.0016003955388441682,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
21,0.001348067307844758,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
22,0.0012210153508931398,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997615814209
23,0.001141933025792241,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
24,0.0010928219417110085,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
25,0.001061650225892663,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
26,0.0010368122020736337,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
27,0.0010219054529443383,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
28,0.001004049670882523,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999996423721313
29,0.0009925187332555652,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999996423721313
