,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0,0.7057276964187622,1781.0,1654.0,2442.0,2029.0,0.5341512560844421,0.5184861421585083,0.46745407581329346,0.5407565236091614,0.5226805806159973
1,0.6862965822219849,1811.0,1481.0,2615.0,1999.0,0.559827983379364,0.5501214861869812,0.47532808780670166,0.5819977521896362,0.567491352558136
2,0.6679444909095764,1974.0,1403.0,2693.0,1836.0,0.5903111696243286,0.5845425128936768,0.5181102156639099,0.624799370765686,0.6060140132904053
3,0.6319139003753662,2186.0,1242.0,2854.0,1624.0,0.6374905109405518,0.6376895904541016,0.573753297328949,0.6934230923652649,0.6803760528564453
4,0.572319507598877,2488.0,1036.0,3060.0,1322.0,0.7017455101013184,0.7060158848762512,0.6530183553695679,0.7700620889663696,0.7605717778205872
5,0.51935875415802,2674.0,937.0,3159.0,1136.0,0.7377941012382507,0.7405151128768921,0.7018372416496277,0.8178223371505737,0.8126879334449768
6,0.4822489321231842,2786.0,799.0,3297.0,1024.0,0.7694156169891357,0.7771269083023071,0.7312335968017578,0.8483624458312988,0.8420045971870422
7,0.47215819358825684,2795.0,773.0,3323.0,1015.0,0.7738426327705383,0.7833520174026489,0.7335957884788513,0.8550781011581421,0.8522524237632751
8,0.4370701313018799,2945.0,681.0,3415.0,865.0,0.8044523000717163,0.8121897578239441,0.7729659080505371,0.8778915405273438,0.8758293390274048
9,0.4267943799495697,2944.0,708.0,3388.0,866.0,0.8009107112884521,0.8061336278915405,0.7727034091949463,0.8833766579627991,0.8837871551513672
10,0.4004022777080536,3024.0,628.0,3468.0,786.0,0.8211485147476196,0.8280394077301025,0.7937008142471313,0.899360716342926,0.8965418934822083
11,0.39486244320869446,2985.0,637.0,3459.0,825.0,0.8150771856307983,0.8241302967071533,0.7834645509719849,0.900772213935852,0.9021741151809692
12,0.3930124044418335,3020.0,588.0,3508.0,790.0,0.8257020115852356,0.8370288014411926,0.7926509380340576,0.9028833508491516,0.9023056626319885
13,0.3863079845905304,3017.0,573.0,3523.0,793.0,0.8272198438644409,0.8403899669647217,0.7918635010719299,0.9059416651725769,0.906205415725708
14,0.41033318638801575,2944.0,643.0,3453.0,866.0,0.8091322779655457,0.820741593837738,0.7727034091949463,0.8924453258514404,0.8938459157943726
15,0.38302546739578247,3021.0,586.0,3510.0,789.0,0.8260814547538757,0.8375381231307983,0.7929133772850037,0.907433807849884,0.909477710723877
16,0.35361528396606445,3123.0,552.0,3544.0,687.0,0.8432835936546326,0.849795937538147,0.8196850419044495,0.9218626022338867,0.9226096868515015
17,0.3624541759490967,3104.0,576.0,3520.0,706.0,0.8378446698188782,0.843478262424469,0.8146981596946716,0.9184780120849609,0.9150279760360718
18,0.4127591848373413,2993.0,666.0,3430.0,817.0,0.8124209642410278,0.8179830312728882,0.7855643033981323,0.8922770023345947,0.889301061630249
19,0.34538161754608154,3159.0,553.0,3543.0,651.0,0.8477106094360352,0.8510237336158752,0.8291338682174683,0.9260547161102295,0.9251865744590759
20,0.34921586513519287,3132.0,553.0,3543.0,678.0,0.8442954421043396,0.8499321341514587,0.822047233581543,0.9242875576019287,0.9234018921852112
21,0.32773956656455994,3186.0,524.0,3572.0,624.0,0.8547938466072083,0.8587601184844971,0.8362204432487488,0.9338128566741943,0.9326573610305786
22,0.33645686507225037,3187.0,536.0,3560.0,623.0,0.8534024953842163,0.8560301065444946,0.8364829421043396,0.9301173090934753,0.9285614490509033
23,0.3316563665866852,3188.0,513.0,3583.0,622.0,0.856438159942627,0.8613888025283813,0.8367453813552856,0.9321278929710388,0.9297846555709839
24,0.3219057023525238,3222.0,522.0,3574.0,588.0,0.859600305557251,0.8605769276618958,0.8456692695617676,0.9361138939857483,0.9352801442146301
25,0.3232530951499939,3208.0,548.0,3548.0,602.0,0.8545408844947815,0.8541001081466675,0.8419947624206543,0.9356205463409424,0.9337539672851562
26,0.36192628741264343,3096.0,567.0,3529.0,714.0,0.8379711508750916,0.8452088236808777,0.8125984072685242,0.918332576751709,0.9193336963653564
27,0.3416619598865509,3154.0,544.0,3552.0,656.0,0.8482165336608887,0.8528934717178345,0.8278214931488037,0.9273819923400879,0.9275195002555847
28,0.3401341438293457,3157.0,536.0,3560.0,653.0,0.8496078848838806,0.8548605442047119,0.8286089301109314,0.9285339117050171,0.9278703927993774
29,0.3329451382160187,3167.0,504.0,3592.0,643.0,0.8549203276634216,0.8627077341079712,0.8312336206436157,0.9313133955001831,0.9315780401229858
