,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0,0.06370065361261368,3715.0,88.0,4008.0,95.0,0.9768530130386353,0.9768603444099426,0.9750655889511108,0.9970917701721191,0.996720552444458
1,0.02128950133919716,3785.0,22.0,4074.0,25.0,0.9940551519393921,0.9942211508750916,0.9934383034706116,0.9996285438537598,0.9996858835220337
2,0.0090089812874794,3801.0,8.0,4088.0,9.0,0.9978497624397278,0.9978997111320496,0.9976378083229065,0.9999617338180542,0.9999589920043945
3,0.005486269947141409,3808.0,3.0,4093.0,2.0,0.9993675947189331,0.9992128014564514,0.9994750618934631,0.9998160004615784,0.9998645782470703
4,0.0023890116717666388,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999988675117493,0.9999986886978149
5,0.0014853418106213212,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997615814209
6,0.0012034032260999084,3808.0,2.0,4094.0,2.0,0.9994940757751465,0.9994750618934631,0.9994750618934631,0.9999997615814209,0.9999997019767761
