,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0,0.6858217120170593,2010.0,1507.0,2589.0,1800.0,0.5817101001739502,0.571509838104248,0.5275590419769287,0.6118348836898804,0.5818190574645996
1,0.5566456913948059,2556.0,938.0,3158.0,1254.0,0.7227421998977661,0.731539785861969,0.6708661317825317,0.7881238460540771,0.7791667580604553
2,0.4789316952228546,2819.0,749.0,3347.0,991.0,0.7799139618873596,0.7900784611701965,0.7398949861526489,0.8513475656509399,0.8453028798103333
3,0.45096608996391296,2913.0,706.0,3390.0,897.0,0.7972425818443298,0.8049184679985046,0.764566957950592,0.8702208995819092,0.865287184715271
4,0.4051100015640259,3038.0,612.0,3484.0,772.0,0.8249430656433105,0.8323287963867188,0.7973753213882446,0.8978368043899536,0.8920068144798279
5,0.35723817348480225,3195.0,559.0,3537.0,615.0,0.8515051603317261,0.8510921597480774,0.8385826945304871,0.9210915565490723,0.9158347249031067
6,0.3028925657272339,3304.0,456.0,3640.0,506.0,0.8783202767372131,0.8787233829498291,0.8671916127204895,0.9440663456916809,0.939956545829773
7,0.2665327191352844,3364.0,412.0,3684.0,446.0,0.8914748430252075,0.8908898234367371,0.8829396367073059,0.9565936326980591,0.9535253643989563
8,0.199212908744812,3484.0,295.0,3801.0,326.0,0.9214520454406738,0.9219370484352112,0.9144356846809387,0.9755992293357849,0.9752607345581055
9,0.14932729303836823,3550.0,208.0,3888.0,260.0,0.9408044815063477,0.9446514248847961,0.9317585229873657,0.9862394332885742,0.9854856133460999
10,0.11706124991178513,3606.0,160.0,3936.0,204.0,0.953959047794342,0.9575145840644836,0.9464566707611084,0.9911724925041199,0.9903838038444519
11,0.11879225820302963,3602.0,149.0,3947.0,208.0,0.9548444151878357,0.960277259349823,0.9454067945480347,0.9910336136817932,0.9903731942176819
12,0.09655028581619263,3652.0,132.0,3964.0,158.0,0.9633190035820007,0.9651162624359131,0.9585301876068115,0.993948221206665,0.9931641817092896
13,0.07292705029249191,3687.0,107.0,3989.0,123.0,0.9709081649780273,0.9717975854873657,0.9677165150642395,0.9962689280509949,0.9955160617828369
14,0.06264021247625351,3725.0,93.0,4003.0,85.0,0.9774854779243469,0.975641667842865,0.9776902794837952,0.9970115423202515,0.9963129758834839
15,0.06315834075212479,3727.0,100.0,3996.0,83.0,0.9768530130386353,0.9738698601722717,0.978215217590332,0.9969432950019836,0.9965945482254028
16,0.06592845171689987,3714.0,98.0,3998.0,96.0,0.9754616618156433,0.9742916822433472,0.9748031497001648,0.9965270161628723,0.9962199926376343
17,0.04909094050526619,3736.0,67.0,4029.0,74.0,0.9821654558181763,0.9823823571205139,0.9805774092674255,0.9978607892990112,0.997509241104126
18,0.052831728011369705,3722.0,68.0,4028.0,88.0,0.9802681803703308,0.982058048248291,0.9769029021263123,0.9977076053619385,0.9970754981040955
19,0.051151733845472336,3740.0,66.0,4030.0,70.0,0.9827978610992432,0.9826589822769165,0.9816272854804993,0.9969733953475952,0.9968277215957642
20,0.036918554455041885,3756.0,47.0,4049.0,54.0,0.9872248768806458,0.9876413345336914,0.9858267903327942,0.9983348846435547,0.9982511401176453
21,0.04489095136523247,3747.0,53.0,4043.0,63.0,0.9853276014328003,0.9860526323318481,0.9834645390510559,0.998106062412262,0.997747004032135
22,0.04045601561665535,3753.0,50.0,4046.0,57.0,0.9864659905433655,0.9868524670600891,0.9850393533706665,0.9983655214309692,0.9980128407478333
23,0.0493382103741169,3731.0,61.0,4035.0,79.0,0.9822919368743896,0.9839134812355042,0.9792650938034058,0.9977498054504395,0.9974688291549683
24,0.037864845246076584,3751.0,46.0,4050.0,59.0,0.9867189526557922,0.9878851771354675,0.9845144152641296,0.9983420372009277,0.9974765181541443
25,0.032965775579214096,3766.0,43.0,4053.0,44.0,0.9889956712722778,0.9887109398841858,0.9884514212608337,0.9986542463302612,0.9983049035072327
26,0.03632557764649391,3766.0,36.0,4060.0,44.0,0.9898810982704163,0.990531325340271,0.9884514212608337,0.9979519844055176,0.9981008768081665
27,0.030404768884181976,3768.0,36.0,4060.0,42.0,0.990134060382843,0.9905362725257874,0.9889763593673706,0.9989631772041321,0.9989315271377563
28,0.039340291172266006,3756.0,45.0,4051.0,54.0,0.9874778389930725,0.988161027431488,0.9858267903327942,0.9980669617652893,0.9981070756912231
29,0.028780069202184677,3773.0,34.0,4062.0,37.0,0.9910194873809814,0.9910690784454346,0.9902887344360352,0.9990670680999756,0.9984170794487
