loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
0.5068797469139099,2150.0,682.0,2341.0,809.0,0.7507522702217102,0.7591807842254639,0.7265968322753906,0.8309179544448853,0.8257433772087097,0.448447585105896,717.0,132.0,860.0,285.0,0.7908726334571838,0.8445229530334473,0.7155688405036926,0.8775743842124939,0.8784766793251038
0.4448715150356293,2333.0,624.0,2399.0,626.0,0.791039764881134,0.7889752984046936,0.7884420156478882,0.87400221824646,0.8683457374572754,0.4175078570842743,763.0,157.0,835.0,239.0,0.8014042377471924,0.8293478488922119,0.7614770531654358,0.8939122557640076,0.8963640928268433
0.4179314076900482,2404.0,591.0,2432.0,555.0,0.80842524766922,0.8026711344718933,0.8124366402626038,0.8894832134246826,0.8867299556732178,0.42192259430885315,896.0,282.0,710.0,106.0,0.8054162263870239,0.7606111764907837,0.8942115902900696,0.8994817733764648,0.897493302822113
0.3980235457420349,2453.0,582.0,2441.0,506.0,0.8181210160255432,0.8082372546195984,0.8289963006973267,0.9002787470817566,0.8985511064529419,0.4184696078300476,876.0,248.0,744.0,126.0,0.8124372959136963,0.7793594598770142,0.8742514848709106,0.8981935381889343,0.8983386754989624
0.38176459074020386,2464.0,543.0,2480.0,495.0,0.826479434967041,0.8194213509559631,0.832713782787323,0.9088199734687805,0.9071391820907593,0.4040718674659729,800.0,166.0,826.0,202.0,0.8154463171958923,0.828157365322113,0.7984032034873962,0.9031508564949036,0.9041028618812561
0.3694179356098175,2481.0,540.0,2483.0,478.0,0.8298227787017822,0.8212512135505676,0.8384589552879333,0.9147804379463196,0.9151730537414551,0.39733555912971497,882.0,240.0,752.0,120.0,0.8194583654403687,0.7860962748527527,0.8802395462989807,0.9088209867477417,0.9075928926467896
0.3572700619697571,2497.0,513.0,2510.0,462.0,0.8370110392570496,0.829568088054657,0.8438661694526672,0.9205567836761475,0.9197462201118469,0.3923857510089874,804.0,147.0,845.0,198.0,0.8269809484481812,0.8454258441925049,0.802395224571228,0.9102058410644531,0.9085606932640076
0.3421512842178345,2501.0,481.0,2542.0,458.0,0.8430290818214417,0.8386988639831543,0.8452180027961731,0.9275532960891724,0.9278091788291931,0.393943727016449,816.0,159.0,833.0,186.0,0.8269809484481812,0.8369230628013611,0.8143712282180786,0.9108406901359558,0.9087311029434204
0.3312418758869171,2524.0,478.0,2545.0,435.0,0.8473754525184631,0.840772807598114,0.8529908657073975,0.9322982430458069,0.9315630197525024,0.39567816257476807,858.0,178.0,814.0,144.0,0.8385155200958252,0.8281853199005127,0.85628741979599,0.9102023243904114,0.9047484397888184
0.3192684054374695,2536.0,453.0,2570.0,423.0,0.8535606861114502,0.8484442830085754,0.8570463061332703,0.9371782541275024,0.9375758171081543,0.403221994638443,827.0,164.0,828.0,175.0,0.8299899697303772,0.8345106244087219,0.8253493309020996,0.9097681641578674,0.9068574905395508
0.30929863452911377,2574.0,430.0,2593.0,385.0,0.8637579679489136,0.8568575382232666,0.8698884844779968,0.9412438273429871,0.9417682886123657,0.4140232801437378,843.0,176.0,816.0,159.0,0.831995964050293,0.827281653881073,0.841317355632782,0.9082666039466858,0.9053114652633667
0.29881414771080017,2569.0,415.0,2608.0,390.0,0.8654296398162842,0.8609249591827393,0.8681986927986145,0.9453887939453125,0.9462189078330994,0.413559228181839,862.0,189.0,803.0,140.0,0.835004985332489,0.8201712369918823,0.8602794408798218,0.9113370776176453,0.9097881317138672
